@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
3694,'2018/08/06 18:59:01:217',19,0,84,57,11.891,0.484,4.5,5,0,176.399994,0.23,0
3695,'2018/08/06 18:59:01:217',19,0,82,57,11.891,0.484,4.5,5,0,176.399994,0.23,0
3696,'2018/08/06 18:59:01:217',19,1,82,57,11.891,0.484,4.5,5,0,176.399994,0.23,0
3697,'2018/08/06 18:59:01:217',19,1,82,57,0,0.484,4.5,5,0,176.399994,0.23,0
3698,'2018/08/06 18:59:01:217',19,1,82,0,0,0.484,4.5,5,0,176.399994,0.23,0
3699,'2018/08/06 18:59:01:217',19,1,82,0,0,0.484,4.5,5,0,176.399994,0.23,0
3700,'2018/08/06 18:59:01:217',19,0,82,0,0,0.484,4.5,5,0,176.399994,0.23,0
3701,'2018/08/06 18:59:01:268',19,0,82,0,0,0.034,4.5,5,0,176.399994,0.23,0
3702,'2018/08/06 18:59:01:268',19,0,82,57,0,0.034,4.5,5,0,176.399994,0.23,0
3703,'2018/08/06 18:59:01:268',19,0,82,57,0,0.034,4.5,5,0,176.399994,0.23,0
3704,'2018/08/06 18:59:01:268',19,1,82,57,0,0.034,4.5,5,0,176.399994,0.23,0
3705,'2018/08/06 18:59:01:268',19,1,82,57,0,0.034,4.5,5,0,176.399994,0.23,0
3706,'2018/08/06 18:59:01:268',19,1,82,0,0,0.034,4.5,5,0,176.399994,0.23,0
3707,'2018/08/06 18:59:01:268',19,1,82,0,0,0.034,4.5,5,0,176.399994,0.23,0
3708,'2018/08/06 18:59:01:269',19,0,82,0,0,0.034,4.5,5,0,176.399994,0.23,0
3709,'2018/08/06 18:59:01:312',19,0,82,0,0,0.045,4.5,5,0,176.399994,0.23,0
3710,'2018/08/06 18:59:01:312',19,0,82,57,0,0.045,4.5,5,0,176.399994,0.23,0
3711,'2018/08/06 18:59:01:312',19,0,82,57,0,0.045,4.5,5,0,176.399994,0.23,0
3712,'2018/08/06 18:59:01:312',19,1,82,57,0,0.045,4.5,5,0,176.399994,0.23,0
3713,'2018/08/06 18:59:01:738',19,1,82,57,0.45,0.045,4.5,5,0,176.399994,0.23,0
3714,'2018/08/06 18:59:01:738',19,1,82,0,0.45,0.045,4.5,5,0,176.399994,0.23,0
3715,'2018/08/06 18:59:01:738',19,1,82,0,0.45,0.045,4.5,5,0,176.399994,0.23,0
3716,'2018/08/06 18:59:01:738',19,0,82,0,0.45,0.045,4.5,5,0,176.399994,0.23,0
3717,'2018/08/06 18:59:01:948',19,0,82,0,0.45,0.652,4.5,5,0,176.399994,0.23,0
3718,'2018/08/06 18:59:01:948',19,0,82,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3719,'2018/08/06 18:59:01:948',19,0,80,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3720,'2018/08/06 18:59:01:948',19,1,80,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3721,'2018/08/06 18:59:01:949',19,1,80,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3722,'2018/08/06 18:59:01:949',19,1,83,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3723,'2018/08/06 18:59:01:949',19,2,83,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3724,'2018/08/06 18:59:01:949',19,2,83,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3725,'2018/08/06 18:59:01:949',19,2,82,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3726,'2018/08/06 18:59:01:949',19,3,82,127,0.45,0.652,4.5,5,0,176.399994,0.23,0
3727,'2018/08/06 18:59:01:949',19,3,82,127,0.45,0.013,4.5,5,0,176.399994,0.23,0
3728,'2018/08/06 18:59:01:949',19,3,82,127,0.45,0.013,4.5,5,0,176.399994,0.23,0
3729,'2018/08/06 18:59:01:949',19,3,77,127,0.45,0.013,4.5,5,0,176.399994,0.23,0
3730,'2018/08/06 18:59:01:949',19,4,77,127,0.45,0.013,4.5,5,0,176.399994,0.23,0
3731,'2018/08/06 18:59:01:949',19,4,77,127,0,0.013,4.5,5,0,176.399994,0.23,0
3732,'2018/08/06 18:59:01:949',19,4,77,0,0,0.013,4.5,5,0,176.399994,0.23,0
3733,'2018/08/06 18:59:01:949',19,4,77,0,0,0.013,4.5,5,0,176.399994,0.23,0
3734,'2018/08/06 18:59:01:949',19,3,77,0,0,0.013,4.5,5,0,176.399994,0.23,0
3735,'2018/08/06 18:59:01:949',19,3,77,87,0,0.013,4.5,5,0,176.399994,0.23,0
3736,'2018/08/06 18:59:01:949',19,3,77,87,0,0.013,4.5,5,0,176.399994,0.23,0
3737,'2018/08/06 18:59:01:949',19,4,77,87,0,0.013,4.5,5,0,176.399994,0.23,0
3738,'2018/08/06 18:59:02:752',19,4,77,87,0.775,0.013,4.5,5,0,176.399994,0.23,0
3739,'2018/08/06 18:59:02:752',19,4,77,0,0.775,0.013,4.5,5,0,176.399994,0.23,0
3740,'2018/08/06 18:59:02:752',19,4,77,0,0.775,0.013,4.5,5,0,176.399994,0.23,0
3741,'2018/08/06 18:59:02:752',19,3,77,0,0.775,0.013,4.5,5,0,176.399994,0.23,0
3742,'2018/08/06 18:59:02:914',19,3,77,0,0.775,0.966,4.5,5,0,176.399994,0.23,0
3743,'2018/08/06 18:59:02:914',19,3,77,8,0.775,0.966,4.5,5,0,176.399994,0.23,0
3744,'2018/08/06 18:59:02:914',19,3,77,8,0.775,0.966,4.5,5,0,176.399994,0.23,0
3745,'2018/08/06 18:59:02:914',19,4,77,8,0.775,0.966,4.5,5,0,176.399994,0.23,0
3746,'2018/08/06 18:59:02:914',19,4,77,8,0,0.966,4.5,5,0,176.399994,0.23,0
3747,'2018/08/06 18:59:02:914',19,4,77,0,0,0.966,4.5,5,0,176.399994,0.23,0
3748,'2018/08/06 18:59:02:915',19,4,77,0,0,0.966,4.5,5,0,176.399994,0.23,0
3749,'2018/08/06 18:59:02:915',19,3,77,0,0,0.966,4.5,5,0,176.399994,0.23,0
3750,'2018/08/06 18:59:02:964',19,3,77,0,0.99,0.966,4.5,5,0,176.399994,0.23,0
3751,'2018/08/06 18:59:02:964',19,3,77,0,0.99,0.966,4.5,5,0,176.399994,0.23,0
3752,'2018/08/06 18:59:02:964',19,3,80,0,0.99,0.966,4.5,5,0,176.399994,0.23,0
3753,'2018/08/06 18:59:02:964',19,2,80,0,0.99,0.966,4.5,5,0,176.399994,0.23,0
3754,'2018/08/06 18:59:02:964',19,2,80,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3755,'2018/08/06 18:59:02:964',19,2,80,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3756,'2018/08/06 18:59:02:964',19,2,83,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3757,'2018/08/06 18:59:02:964',19,1,83,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3758,'2018/08/06 18:59:02:964',19,1,83,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3759,'2018/08/06 18:59:02:964',19,1,83,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3760,'2018/08/06 18:59:02:964',19,1,82,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3761,'2018/08/06 18:59:02:964',19,0,82,0,1.003,0.966,4.5,5,0,176.399994,0.23,0
3762,'2018/08/06 18:59:03:152',19,0,82,0,1.003,0.236,4.5,5,0,176.399994,0.23,0
3763,'2018/08/06 18:59:03:152',19,0,82,127,1.003,0.236,4.5,5,0,176.399994,0.23,0
3764,'2018/08/06 18:59:03:152',19,0,82,127,1.003,0.236,4.5,5,0,176.399994,0.23,0
3765,'2018/08/06 18:59:03:152',19,1,82,127,1.003,0.236,4.5,5,0,176.399994,0.23,0
